technique,efficacy,frequency,name,category,slug
29,0.11952097505668934,0.5213675213675214,Goal Setting,Other,Gs
5,0.12410209846650525,0.452991452991453,Self-monitoring,Primary Task Support,Sm
9,0.13312409812409812,0.38461538461538464,Rewards,Dialogue,Re
4,0.12161044973544977,0.36752136752136755,Personalization,Primary Task Support,Pe
11,0.09834104938271605,0.2905982905982906,Suggestion,Dialogue,Su
10,0.1425595238095238,0.23931623931623933,Reminders,Dialogue,Rm
23,0.20472222222222225,0.1452991452991453,Social Comparison,Social Support,Sc
22,0.1452517788724685,0.19658119658119658,Social Learning,Social Support,Sl
1,0.11222478238607271,0.2222222222222222,Reduction,Primary Task Support,Rd
26,0.17598261526832956,0.1452991452991453,Cooperation,Social Support,Co
12,0.21597222222222226,0.05982905982905983,Similarity,Dialogue,Si
8,0.08489583333333334,0.18803418803418803,Praise,Dialogue,Pr
27,0.09015151515151516,0.1623931623931624,Competition,Social Support,Cm
13,0.15086580086580087,0.07692307692307693,Liking,Dialogue,Li
28,0.08676470588235295,0.13675213675213677,Recognition,Social Support,Rc
14,0.11929563492063493,0.09401709401709402,Social Role,Dialogue,Sr
30,0.15833333333333333,0.05128205128205128,Punishment,Other,Pu
25,0.11916666666666664,0.08547008547008547,Social Facilitation,Social Support,Sf
2,0.05793650793650794,0.1452991452991453,Tailoring,Primary Task Support,Ta
19,0.1395833333333333,0.05128205128205128,Authority,System Credibility,Au
3,0.06118055555555556,0.11965811965811966,Tunneling,Primary Task Support,Tu
6,0.043339002267573694,0.1111111111111111,Simulation,Primary Task Support,Su
24,0.04774305555555556,0.10256410256410256,Normative Influence,Social Support,Ni
18,0.09212962962962963,0.05128205128205128,Real-world Feel,System Credibility,Rf
16,0.09666666666666666,0.042735042735042736,Expertise,System Credibility,Ex
7,0.09791666666666667,0.03418803418803419,Rehearsal,Primary Task Support,Rh
15,0.1,0.008547008547008548,Trustworthiness,System Credibility,Tr
32,0.07291666666666666,0.03418803418803419,General Information,Other,Gi
31,0.011111111111111112,0.02564102564102564,Variability,Other,Va
